App0,"([(0, 20), (1, 53), (2, 20), (3, 53)], '0.14332128', 0.011745929718017578, 'Optimal')"
App1,"([(0, 12), (1, 78), (2, 78), (3, 2), (4, 2), (5, 78), (6, 2), (7, 12)], '0.61840391', 0.33984804153442383, 'Optimal')"
App2,"([(0, 53), (1, 53), (2, 98), (3, 60), (4, 88), (5, 88), (6, 50), (7, 28), (8, 33), (9, 66), (10, 98), (11, 97)], '0.45118737', 0.21934890747070312, 'Optimal')"
App3,"([(0, 66), (1, 16), (2, 11), (3, 66), (4, 72), (5, 29), (6, 37), (7, 51), (8, 51), (9, 15), (10, 37), (11, 15), (12, 29), (13, 88), (14, 72), (15, 11)], '0.62830520', 0.21644902229309082, 'Optimal')"
App4,"([(0, 2), (1, 12), (2, 1), (3, 98), (4, 98), (5, 78), (6, 11), (7, 21), (8, 2), (9, 87), (10, 11), (11, 11), (12, 12), (13, 1), (14, 29), (15, 11), (16, 87), (17, 29), (18, 29), (19, 78)], '3.78671479', 3.422194004058838, 'Optimal')"
App5,"([(0, 63), (1, 94), (2, 37), (3, 88), (4, 15), (5, 52), (6, 8), (7, 8), (8, 29), (9, 11), (10, 69), (11, 60), (12, 29), (13, 88), (14, 69), (15, 69), (16, 94), (17, 63), (18, 11), (19, 37), (20, 37), (21, 26), (22, 15), (23, 52)], '6.45675278', 5.861928939819336, 'Optimal')"
App6,"([(0, 78), (1, 66), (2, 97), (3, 21), (4, 78), (5, 41), (6, 60), (7, 86), (8, 65), (9, 12), (10, 53), (11, 48), (12, 20), (13, 7), (14, 50), (15, 86), (16, 12), (17, 98), (18, 29), (19, 76), (20, 20), (21, 41), (22, 29), (23, 53), (24, 87), (25, 98), (26, 87), (27, 76)], '1.89575577', 1.1889450550079346, 'Optimal')"
App7,"([(0, 51), (1, 63), (2, 2), (3, 94), (4, 11), (5, 72), (6, 43), (7, 69), (8, 12), (9, 98), (10, 87), (11, 12), (12, 43), (13, 8), (14, 15), (15, 43), (16, 29), (17, 98), (18, 51), (19, 11), (20, 78), (21, 2), (22, 72), (23, 87), (24, 29), (25, 43), (26, 63), (27, 8), (28, 69), (29, 78), (30, 15), (31, 94)], '7.13045669', 6.4249207973480225, 'Optimal')"
App8,"([(0, 68), (1, 50), (2, 20), (3, 98), (4, 2), (5, 86), (6, 48), (7, 7), (8, 41), (9, 98), (10, 90), (11, 68), (12, 69), (13, 78), (14, 87), (15, 69), (16, 20), (17, 53), (18, 15), (19, 90), (20, 66), (21, 2), (22, 53), (23, 28), (24, 12), (25, 86), (26, 87), (27, 33), (28, 97), (29, 78), (30, 69), (31, 15), (32, 12), (33, 12), (34, 41), (35, 21)], '5.53088307', 4.798933029174805, 'Optimal')"
App9,"([(0, 12), (1, 12), (2, 2), (3, 78), (4, 72), (5, 12), (6, 2), (7, 90), (8, 2), (9, 29), (10, 72), (11, 41), (12, 29), (13, 11), (14, 87), (15, 87), (16, 88), (17, 37), (18, 37), (19, 20), (20, 2), (21, 21), (22, 53), (23, 50), (24, 11), (25, 88), (26, 86), (27, 48), (28, 72), (29, 29), (30, 66), (31, 37), (32, 86), (33, 20), (34, 90), (35, 7), (36, 78), (37, 97), (38, 53), (39, 41)], '9.67229056', 8.840514898300171, 'Optimal')"
App10,"([(0, 97), (1, 78), (2, 76), (3, 6), (4, 86), (5, 15), (6, 12), (7, 78), (8, 86), (9, 98), (10, 28), (11, 37), (12, 65), (13, 83), (14, 98), (15, 37), (16, 41), (17, 11), (18, 33), (19, 64), (20, 2), (21, 87), (22, 72), (23, 11), (24, 2), (25, 6), (26, 91), (27, 72), (28, 37), (29, 7), (30, 50), (31, 41), (32, 48), (33, 20), (34, 66), (35, 87), (36, 15), (37, 64), (38, 20), (39, 12), (40, 91), (41, 76), (42, 53), (43, 53)], '4.09842396', 3.1510019302368164, 'Optimal')"
App11,"([(0, 9), (1, 98), (2, 94), (3, 15), (4, 63), (5, 15), (6, 84), (7, 51), (8, 72), (9, 29), (10, 52), (11, 98), (12, 37), (13, 29), (14, 8), (15, 94), (16, 84), (17, 88), (18, 1), (19, 69), (20, 26), (21, 8), (22, 37), (23, 37), (24, 72), (25, 11), (26, 11), (27, 88), (28, 2), (29, 51), (30, 2), (31, 60), (32, 63), (33, 52), (34, 94), (35, 37), (36, 43), (37, 84), (38, 1), (39, 43), (40, 84), (41, 69), (42, 9), (43, 16), (44, 72), (45, 63), (46, 16), (47, 9)], '17.68165827', 16.668517112731934, 'Optimal')"
App12,"([(0, 86), (1, 53), (2, 2), (3, 48), (4, 65), (5, 28), (6, 72), (7, 90), (8, 20), (9, 2), (10, 72), (11, 97), (12, 72), (13, 29), (14, 7), (15, 50), (16, 86), (17, 76), (18, 11), (19, 12), (20, 11), (21, 41), (22, 6), (23, 60), (24, 76), (25, 41), (26, 98), (27, 29), (28, 78), (29, 1), (30, 98), (31, 6), (32, 27), (33, 87), (34, 33), (35, 15), (36, 8), (37, 12), (38, 53), (39, 1), (40, 90), (41, 21), (42, 87), (43, 68), (44, 29), (45, 12), (46, 66), (47, 20), (48, 68), (49, 8), (50, 15), (51, 78)], '6.52428079', 5.538054943084717, 'Optimal')"
App13,"([(0, 28), (1, 52), (2, 76), (3, 43), (4, 11), (5, 12), (6, 69), (7, 37), (8, 43), (9, 84), (10, 51), (11, 98), (12, 94), (13, 78), (14, 8), (15, 63), (16, 8), (17, 2), (18, 97), (19, 1), (20, 87), (21, 66), (22, 69), (23, 45), (24, 51), (25, 15), (26, 98), (27, 56), (28, 29), (29, 11), (30, 15), (31, 68), (32, 37), (33, 68), (34, 72), (35, 87), (36, 45), (37, 16), (38, 66), (39, 2), (40, 56), (41, 12), (42, 84), (43, 88), (44, 52), (45, 76), (46, 84), (47, 33), (48, 78), (49, 97), (50, 29), (51, 72), (52, 1), (53, 63), (54, 26), (55, 94)], '9.30457950', 8.066678047180176, 'Optimal')"
App14,"([(0, 72), (1, 11), (2, 12), (3, 37), (4, 83), (5, 20), (6, 86), (7, 45), (8, 5), (9, 50), (10, 86), (11, 88), (12, 29), (13, 21), (14, 15), (15, 12), (16, 53), (17, 51), (18, 27), (19, 74), (20, 11), (21, 57), (22, 2), (23, 88), (24, 53), (25, 16), (26, 72), (27, 66), (28, 8), (29, 78), (30, 68), (31, 2), (32, 7), (33, 15), (34, 11), (35, 97), (36, 90), (37, 87), (38, 66), (39, 29), (40, 45), (41, 66), (42, 48), (43, 51), (44, 76), (45, 68), (46, 78), (47, 20), (48, 87), (49, 43), (50, 94), (51, 37), (52, 33), (53, 16), (54, 28), (55, 76), (56, 72), (57, 90), (58, 98), (59, 98)], '9.61101651', 8.322822093963623, 'Optimal')"
App15,"([(0, 16), (1, 51), (2, 11), (3, 78), (4, 72), (5, 15), (6, 27), (7, 49), (8, 8), (9, 12), (10, 28), (11, 88), (12, 76), (13, 78), (14, 84), (15, 94), (16, 76), (17, 12), (18, 66), (19, 63), (20, 43), (21, 94), (22, 16), (23, 52), (24, 43), (25, 98), (26, 63), (27, 52), (28, 97), (29, 66), (30, 83), (31, 88), (32, 84), (33, 11), (34, 26), (35, 15), (36, 97), (37, 26), (38, 2), (39, 84), (40, 43), (41, 98), (42, 49), (43, 81), (44, 37), (45, 87), (46, 43), (47, 11), (48, 2), (49, 69), (50, 45), (51, 37), (52, 45), (53, 29), (54, 72), (55, 87), (56, 33), (57, 72), (58, 69), (59, 51), (60, 29), (61, 1), (62, 1), (63, 8)], '15.87260437', 14.473921060562134, 'Optimal')"
App16,"([(0, 63), (1, 88), (2, 12), (3, 11), (4, 8), (5, 87), (6, 20), (7, 1), (8, 98), (9, 66), (10, 53), (11, 9), (12, 43), (13, 74), (14, 15), (15, 43), (16, 60), (17, 12), (18, 8), (19, 2), (20, 87), (21, 2), (22, 16), (23, 76), (24, 29), (25, 24), (26, 68), (27, 11), (28, 69), (29, 88), (30, 15), (31, 94), (32, 52), (33, 37), (34, 78), (35, 1), (36, 97), (37, 72), (38, 33), (39, 94), (40, 33), (41, 97), (42, 98), (43, 66), (44, 90), (45, 51), (46, 76), (47, 9), (48, 28), (49, 53), (50, 83), (51, 69), (52, 52), (53, 51), (54, 43), (55, 37), (56, 27), (57, 4), (58, 90), (59, 68), (60, 63), (61, 78), (62, 72), (63, 20), (64, 43), (65, 29), (66, 24), (67, 21)], '17.80859923', 16.355396032333374, 'Optimal')"
App17,"([(0, 21), (1, 12), (2, 97), (3, 8), (4, 81), (5, 4), (6, 27), (7, 29), (8, 7), (9, 88), (10, 86), (11, 76), (12, 2), (13, 76), (14, 8), (15, 72), (16, 20), (17, 12), (18, 90), (19, 78), (20, 9), (21, 53), (22, 88), (23, 37), (24, 29), (25, 15), (26, 11), (27, 41), (28, 51), (29, 20), (30, 6), (31, 94), (32, 48), (33, 68), (34, 11), (35, 81), (36, 48), (37, 40), (38, 87), (39, 63), (40, 63), (41, 72), (42, 69), (43, 50), (44, 90), (45, 6), (46, 48), (47, 9), (48, 29), (49, 36), (50, 1), (51, 37), (52, 97), (53, 94), (54, 11), (55, 66), (56, 51), (57, 98), (58, 1), (59, 78), (60, 69), (61, 86), (62, 53), (63, 87), (64, 40), (65, 63), (66, 15), (67, 55), (68, 2), (69, 98), (70, 68), (71, 41)], '12.90060949', 11.356122016906738, 'Optimal')"
